ticker,price,quotetime
SKGG,34,2017-08-27T14:46:05.7051528Z
HXA2,11,2017-08-27T14:45:05.7051528Z
BW5P,59,2017-08-27T14:45:05.7051528Z
YVGA,73,2017-08-27T14:49:05.7051528Z
SUR1,27,2017-08-27T14:48:05.7051528Z
GHRC,82,2017-08-27T14:48:05.7051528Z
DBWM,14,2017-08-27T14:48:05.7051528Z
1PZ2,25,2017-08-27T14:45:05.7051528Z
SWDN,7,2017-08-27T14:45:05.7051528Z
CU14,26,2017-08-27T14:46:05.7051528Z
KV5X,39,2017-08-27T14:45:05.7051528Z
UYP5,2,2017-08-27T14:48:05.7051528Z
ALNY,91,2017-08-27T14:45:05.7051528Z
Q3DH,92,2017-08-27T14:46:05.7051528Z
LJU5,11,2017-08-27T14:46:05.7051528Z
XUDH,14,2017-08-27T14:47:05.7051528Z
B5YG,0,2017-08-27T14:45:05.7051528Z
1ZNS,24,2017-08-27T14:45:05.7051528Z
21Y5,4,2017-08-27T14:45:05.7051528Z
S0PH,9,2017-08-27T14:47:05.7051528Z
GARC,46,2017-08-27T14:46:05.7051528Z
REZR,69,2017-08-27T14:48:05.7051528Z
WK0Z,42,2017-08-27T14:49:05.7051528Z
J1IP,68,2017-08-27T14:45:05.7051528Z
JEKQ,0,2017-08-27T14:48:05.7051528Z
UH1P,58,2017-08-27T14:45:05.7051528Z
YCRV,70,2017-08-27T14:47:05.7051528Z
G3XP,52,2017-08-27T14:47:05.7051528Z
DQTM,50,2017-08-27T14:49:05.7051528Z
FX4F,56,2017-08-27T14:45:05.7051528Z
2TRU,101,2017-08-27T14:48:05.7051528Z
CIAW,92,2017-08-27T14:45:05.7051528Z
H3XQ,48,2017-08-27T14:48:05.7051528Z
5T3E,34,2017-08-27T14:48:05.7051528Z
4U0Z,51,2017-08-27T14:47:05.7051528Z
WSZR,27,2017-08-27T14:47:05.7051528Z
K2KI,12,2017-08-27T14:45:05.7051528Z
LOL4,47,2017-08-27T14:48:05.7051528Z
VSJV,84,2017-08-27T14:46:05.7051528Z
DBZG,14,2017-08-27T14:49:05.7051528Z
BRC2,18,2017-08-27T14:48:05.7051528Z
MFHL,91,2017-08-27T14:49:05.7051528Z
BF0G,70,2017-08-27T14:48:05.7051528Z
HKPE,0,2017-08-27T14:48:05.7051528Z
XX45,4,2017-08-27T14:48:05.7051528Z
JQTM,60,2017-08-27T14:47:05.7051528Z
ANNV,93,2017-08-27T14:45:05.7051528Z
GZUU,45,2017-08-27T14:47:05.7051528Z
LZCW,92,2017-08-27T14:45:05.7051528Z
DH5J,24,2017-08-27T14:48:05.7051528Z
W1A3,70,2017-08-27T14:47:05.7051528Z
0KO1,11,2017-08-27T14:49:05.7051528Z
2T0Y,11,2017-08-27T14:45:05.7051528Z
1ROG,80,2017-08-27T14:49:05.7051528Z
GSWR,10,2017-08-27T14:45:05.7051528Z
