Ticker,Price,QuoteTime
"SKGG",34,2017-08-27T15:46:05.7051528+01:00
"HXA2",11,2017-08-27T15:45:05.7051528+01:00
"BW5P",59,2017-08-27T15:45:05.7051528+01:00
"YVGA",73,2017-08-27T15:49:05.7051528+01:00
"SUR1",27,2017-08-27T15:48:05.7051528+01:00
"GHRC",82,2017-08-27T15:48:05.7051528+01:00
"DBWM",14,2017-08-27T15:48:05.7051528+01:00
"1PZ2",25,2017-08-27T15:45:05.7051528+01:00
"SWDN",7,2017-08-27T15:45:05.7051528+01:00
"CU14",26,2017-08-27T15:46:05.7051528+01:00
"KV5X",39,2017-08-27T15:45:05.7051528+01:00
"UYP5",2,2017-08-27T15:48:05.7051528+01:00
"ALNY",91,2017-08-27T15:45:05.7051528+01:00
"Q3DH",92,2017-08-27T15:46:05.7051528+01:00
"LJU5",11,2017-08-27T15:46:05.7051528+01:00
"XUDH",14,2017-08-27T15:47:05.7051528+01:00
"B5YG",0,2017-08-27T15:45:05.7051528+01:00
"1ZNS",24,2017-08-27T15:45:05.7051528+01:00
"21Y5",4,2017-08-27T15:45:05.7051528+01:00
"S0PH",9,2017-08-27T15:47:05.7051528+01:00
"GARC",46,2017-08-27T15:46:05.7051528+01:00
"REZR",69,2017-08-27T15:48:05.7051528+01:00
"WK0Z",42,2017-08-27T15:49:05.7051528+01:00
"J1IP",68,2017-08-27T15:45:05.7051528+01:00
"JEKQ",0,2017-08-27T15:48:05.7051528+01:00
"UH1P",58,2017-08-27T15:45:05.7051528+01:00
"YCRV",70,2017-08-27T15:47:05.7051528+01:00
"G3XP",52,2017-08-27T15:47:05.7051528+01:00
"DQTM",50,2017-08-27T15:49:05.7051528+01:00
"FX4F",56,2017-08-27T15:45:05.7051528+01:00
"2TRU",101,2017-08-27T15:48:05.7051528+01:00
"CIAW",92,2017-08-27T15:45:05.7051528+01:00
"H3XQ",48,2017-08-27T15:48:05.7051528+01:00
"5T3E",34,2017-08-27T15:48:05.7051528+01:00
"4U0Z",51,2017-08-27T15:47:05.7051528+01:00
