ticker,price,hourofday
CF4G,33,11
IA14,43,11
BQO3,48,11
HTNO,0,11
2VYW,22,11
2DXP,74,11
KTDT,85,11
2DRD,84,11
S0BM,79,11
UV0M,98,11
UA3D,44,11
OSGZ,0,11
DGTZ,25,11
GHDY,68,11
RLWE,24,11
LW3Z,58,11
MAD2,89,11
GBPA,78,11
X4DR,21,11
OFHW,36,11
VTOQ,19,11
PGHJ,65,11
PR3Z,25,11
5UI3,87,11
SQ02,91,11
3GBU,6,11
XAYK,22,11
QG0W,78,11
IRY2,67,11
Y5Y4,24,11
KNE0,20,11
4IBN,102,11
SMAY,64,11
VNVO,102,11
SOBQ,101,11
XCL5,53,11
AVW1,86,11
SZRT,50,11
WXDR,88,11
O2AG,26,11
RI1I,15,11
DGTZ,21,11
ZI2D,32,11
XYX0,103,11
XRRY,0,11
3QAX,3,11
CGJ3,6,11
ZKIZ,98,11
F2B0,21,11
1OHW,28,11
2JAZ,26,11
R1LY,103,11
T5AQ,26,11
OQNY,23,11
2RYU,75,11
JMB4,95,11
4DMR,0,11
NEQ4,2,11
WHIR,73,11
WKMC,79,11
KROX,0,11
3HEX,73,11
CUWG,15,11
RI1I,18,11
NMIN,79,11
WB5E,10,11
O1ZF,85,11
TQ3G,61,11
KTDT,80,11
WHIR,72,11
FA1D,78,11
J5Z4,97,11
LB2P,67,11
PV3M,34,11
VW3I,29,11
TQ3G,60,11
XZBX,18,11
TCM3,11,11
GBPA,79,11
D00W,75,11
1BFH,28,11
4DP1,70,11
CLD2,73,11
0X5C,97,11
1F21,0,11
TQ3G,64,11
GXO1,39,11
KIL5,74,11
DYKJ,77,11
XAYK,24,11
AI5D,70,11
AAVK,97,11
0FPP,86,11
NBG5,0,11
JNYU,103,11
2CQG,83,11
WGC5,15,11
ZI2D,33,11
TQ3G,64,11
DGTZ,16,11
GXO1,34,11
S0BM,78,11
UA3D,41,11
WKMC,78,11
MQTZ,55,11
D5NP,85,11
DTOT,7,11
WKJE,87,11
GXO1,31,11
YGZO,99,11
WXTT,62,11
3DOI,45,11
RLWE,22,11
NARN,21,11
KODO,75,11
33T5,53,11
KIBC,95,11
VNVO,99,11
DTOT,11,11
XZBX,14,11
PV3M,29,11
SMAY,65,11
KIBC,95,11
XZBX,15,11
1OHW,27,11
2DRD,79,11
NEQ4,0,11
DGTZ,16,11
VTOQ,23,11
3HEX,75,11
JNYU,98,11
XYX0,102,11
O2AG,21,11
XAYK,23,11
2DXP,70,11
2RYU,76,11
0FPP,90,11
KROX,0,11
PR3Z,22,11
AAVK,96,11
DGTZ,18,11
3GBU,7,11
FA1D,74,11
RLWE,21,11
DTOT,7,11
3QAX,6,11
KIL5,71,11
KODO,72,11
33T5,53,11
OSGZ,0,11
WB5E,8,11
CUWG,16,11
GHDY,71,11
AI5D,71,11
KIBC,98,11
IRY2,66,11
4IBN,99,11
FA1D,67,11
SQ02,86,11
KNE0,23,11
CF4G,34,11
WHIR,77,11
NARN,21,11
0X5C,93,11
HTNO,0,11
XYX0,103,11
WGC5,16,11
HTNO,0,11
JMB4,98,11
NMIN,81,11
IRY2,65,11
NBG5,0,11
5UI3,91,11
UA3D,41,11
1OHW,31,11
DTOT,7,11
5UI3,91,11
AVW1,84,11
XCL5,53,11
KROX,0,11
R1LY,98,11
JMB4,95,11
IRY2,61,11
YGZO,96,11
S0BM,75,11
2JAZ,22,11
FA1D,72,11
3DOI,45,11
4IBN,95,11
XRRY,2,11
CLD2,75,11
S0BM,71,11
KTDT,80,11
R1LY,101,11
SMAY,63,11
S0BM,78,11
2CQG,78,11
33T5,50,11
3QAX,3,11
XYX0,98,11
WKJE,85,11
3DOI,45,11
D5NP,84,11
XYX0,98,11
0FPP,92,11
SMAY,61,11
SZRT,49,11
RI1I,17,11
1BFH,24,11
WKJE,81,11
IA14,42,11
DYKJ,77,11
1F21,0,11
5UI3,91,11
2VYW,25,11
TQ3G,68,11
O1ZF,80,11
O2AG,20,11
PGHJ,66,11
2RYU,72,11
2DXP,73,11
2DRD,80,11
3DOI,49,11
XAYK,14,11
2DXP,73,11
VTOQ,21,11
WXTT,57,11
ZI2D,34,11
Y5Y4,25,11
J5Z4,95,11
FA1D,63,11
WB5E,5,11
GXO1,34,11
WKMC,77,11
ZKIZ,100,11
CGJ3,5,11
KROX,4,11
VNVO,103,11
BQO3,45,11
4DP1,67,11
MAD2,84,11
OFHW,36,11
X4DR,25,11
UV0M,97,11
