Ticker,ClosingPrice,OpeningPrice,PriceChange,PercentChange,HourOfLastTrade,Suspicious
SKGG,34,34,0,0,12,NO
HXA2,11,11,0,0,12,NO
BW5P,59,59,0,0,12,NO
YVGA,73,73,0,0,12,NO
SUR1,27,27,0,0,13,NO
GHRC,82,82,0,0,15,NO
DBWM,14,14,0,0,13,NO
1PZ2,25,25,0,0,14,NO
SWDN,7,7,0,0,13,NO
CU14,26,26,0,0,11,NO
KV5X,39,39,0,0,11,NO
UYP5,2,2,0,0,9,NO
ALNY,91,91,0,0,12,NO
Q3DH,92,92,0,0,17,NO
LJU5,11,11,0,0,12,NO
XUDH,14,14,0,0,17,NO
B5YG,0,0,0,NaN,14,NO
1ZNS,24,24,0,0,9,NO
21Y5,4,4,0,0,11,NO
S0PH,9,9,0,0,13,NO
GARC,46,46,0,0,15,NO
REZR,69,69,0,0,13,NO
WK0Z,42,42,0,0,9,NO
J1IP,68,68,0,0,12,NO
JEKQ,0,0,0,NaN,12,NO
UH1P,58,58,0,0,15,NO
YCRV,70,70,0,0,15,NO
G3XP,52,52,0,0,12,NO
DQTM,50,50,0,0,9,NO
FX4F,56,56,0,0,15,NO
2TRU,101,101,0,0,9,NO
CIAW,92,92,0,0,17,NO
H3XQ,48,48,0,0,11,NO
5T3E,34,34,0,0,16,NO
4U0Z,51,51,0,0,17,NO
WSZR,27,27,0,0,15,NO
K2KI,12,12,0,0,14,NO
LOL4,47,47,0,0,15,NO
VSJV,84,84,0,0,13,NO
DBZG,14,14,0,0,17,NO
BRC2,18,18,0,0,15,NO
MFHL,91,91,0,0,12,NO
BF0G,70,70,0,0,15,NO
HKPE,0,0,0,NaN,12,NO
XX45,4,4,0,0,9,NO
JQTM,60,60,0,0,17,NO
ANNV,93,93,0,0,9,NO
GZUU,45,45,0,0,15,NO
LZCW,92,92,0,0,11,NO
DH5J,24,24,0,0,11,NO
W1A3,70,70,0,0,15,NO
0KO1,11,11,0,0,10,NO
2T0Y,11,11,0,0,12,NO
1ROG,80,80,0,0,10,NO
GSWR,10,10,0,0,13,NO
EE0S,72,72,0,0,14,NO
3G3Y,0,0,0,NaN,17,NO
3HLN,15,15,0,0,11,NO
DBLL,98,98,0,0,15,NO
WTKH,99,99,0,0,16,NO
BF0G,66,70,4,-5.714285714,9,NO
0AAH,49,49,0,0,14,NO
BEHY,98,98,0,0,9,NO
XIQY,67,67,0,0,14,NO
11H1,94,94,0,0,16,NO
HIRY,19,19,0,0,16,NO
21FQ,42,42,0,0,11,NO
0F2E,93,93,0,0,17,NO
OHBR,77,77,0,0,15,NO
