Ticker,Price,QuoteTime
OKIB,51,2017-08-28T10:04:05.7051528+01:00
0AAH,27,2017-08-28T10:05:05.7051528+01:00
0AAH,31,2017-08-28T10:00:05.7051528+01:00
OKIB,46,2017-08-28T10:08:05.7051528+01:00
0AAH,27,2017-08-28T10:08:05.7051528+01:00
BF0G,44,2017-08-28T10:04:05.7051528+01:00
DBWM,0,2017-08-28T10:04:05.7051528+01:00
OKIB,49,2017-08-28T10:12:05.7051528+01:00
DH5J,23,2017-08-28T10:01:05.7051528+01:00
OKIB,48,2017-08-28T10:13:05.7051528+01:00
DH5J,26,2017-08-28T10:03:05.7051528+01:00
BF0G,46,2017-08-28T10:07:05.7051528+01:00
BF0G,44,2017-08-28T10:08:05.7051528+01:00
0AAH,24,2017-08-28T10:11:05.7051528+01:00
JEKQ,9,2017-08-28T10:00:05.7051528+01:00
0AAH,26,2017-08-28T10:15:05.7051528+01:00
BF0G,45,2017-08-28T10:09:05.7051528+01:00
0AAH,30,2017-08-28T10:16:05.7051528+01:00
OKIB,47,2017-08-28T10:15:05.7051528+01:00
DBWM,1,2017-08-28T10:09:05.7051528+01:00
NRRO,36,2017-08-28T10:03:05.7051528+01:00
OKIB,43,2017-08-28T10:19:05.7051528+01:00
DH5J,30,2017-08-28T10:07:05.7051528+01:00
AO1H,8,2017-08-28T10:01:05.7051528+01:00
MFHL,49,2017-08-28T10:00:05.7051528+01:00
JEKQ,13,2017-08-28T10:04:05.7051528+01:00
JEKQ,11,2017-08-28T10:11:05.7051528+01:00
JEKQ,10,2017-08-28T10:07:05.7051528+01:00
0AAH,25,2017-08-28T10:18:05.7051528+01:00
NRRO,36,2017-08-28T10:08:05.7051528+01:00
WSZR,29,2017-08-28T10:01:05.7051528+01:00
OKIB,47,2017-08-28T10:23:05.7051528+01:00
WTKH,58,2017-08-28T10:00:05.7051528+01:00
0AAH,20,2017-08-28T10:19:05.7051528+01:00
21FQ,24,2017-08-28T10:02:05.7051528+01:00
AO1H,7,2017-08-28T10:03:05.7051528+01:00
BF0G,46,2017-08-28T10:14:05.7051528+01:00
AO1H,3,2017-08-28T10:07:05.7051528+01:00
WTKH,53,2017-08-28T10:01:05.7051528+01:00
0AAH,21,2017-08-28T10:21:05.7051528+01:00
JEKQ,7,2017-08-28T10:13:05.7051528+01:00
DBWM,0,2017-08-28T10:11:05.7051528+01:00
2TRU,59,2017-08-28T10:02:05.7051528+01:00
0F2E,81,2017-08-28T10:00:05.7051528+01:00
MFHL,47,2017-08-28T10:03:05.7051528+01:00
5LCH,53,2017-08-28T10:02:05.7051528+01:00
Q3DH,69,2017-08-28T10:01:05.7051528+01:00
WSZR,29,2017-08-28T10:02:05.7051528+01:00
V20F,27,2017-08-28T10:00:05.7051528+01:00
AO1H,2,2017-08-28T10:09:05.7051528+01:00
21FQ,21,2017-08-28T10:05:05.7051528+01:00
DBWM,3,2017-08-28T10:16:05.7051528+01:00
21FQ,19,2017-08-28T10:10:05.7051528+01:00
3G3Y,1,2017-08-28T10:02:05.7051528+01:00
DH5J,32,2017-08-28T10:12:05.7051528+01:00
3G3Y,3,2017-08-28T10:07:05.7051528+01:00
0F2E,78,2017-08-28T10:05:05.7051528+01:00
5LCH,53,2017-08-28T10:07:05.7051528+01:00
JEKQ,5,2017-08-28T10:15:05.7051528+01:00
OKIB,42,2017-08-28T10:27:05.7051528+01:00
Q3DH,73,2017-08-28T10:03:05.7051528+01:00
NRRO,32,2017-08-28T10:12:05.7051528+01:00
AO1H,2,2017-08-28T10:10:05.7051528+01:00
DBWM,3,2017-08-28T10:24:05.7051528+01:00
2T0Y,0,2017-08-28T10:01:05.7051528+01:00
G3XP,5,2017-08-28T10:00:05.7051528+01:00
2T0Y,0,2017-08-28T10:04:05.7051528+01:00
WTKH,56,2017-08-28T10:04:05.7051528+01:00
JEKQ,2,2017-08-28T10:20:05.7051528+01:00
UXWV,40,2017-08-28T10:04:05.7051528+01:00
DBWM,6,2017-08-28T10:21:05.7051528+01:00
DH5J,35,2017-08-28T10:14:05.7051528+01:00
NRRO,36,2017-08-28T10:17:05.7051528+01:00
0AAH,20,2017-08-28T10:23:05.7051528+01:00
0KO1,7,2017-08-28T10:01:05.7051528+01:00
BF0G,43,2017-08-28T10:16:05.7051528+01:00
WSZR,25,2017-08-28T10:06:05.7051528+01:00
3G3Y,1,2017-08-28T10:12:05.7051528+01:00
0F2E,75,2017-08-28T10:06:05.7051528+01:00
BF0G,44,2017-08-28T10:19:05.7051528+01:00
GHRC,97,2017-08-28T10:01:05.7051528+01:00
5LCH,55,2017-08-28T10:10:05.7051528+01:00
BF0G,43,2017-08-28T10:22:05.7051528+01:00
2TRU,62,2017-08-28T10:04:05.7051528+01:00
LJU5,23,2017-08-28T10:02:05.7051528+01:00
WTKH,59,2017-08-28T10:09:05.7051528+01:00
BF0G,40,2017-08-28T10:27:05.7051528+01:00
V20F,22,2017-08-28T10:03:05.7051528+01:00
21FQ,23,2017-08-28T10:11:05.7051528+01:00
0AAH,17,2017-08-28T10:24:05.7051528+01:00
R4NX,2,2017-08-28T10:00:05.7051528+01:00
21FQ,26,2017-08-28T10:14:05.7051528+01:00
MFHL,47,2017-08-28T10:05:05.7051528+01:00
NRRO,34,2017-08-28T10:18:05.7051528+01:00
0KO1,9,2017-08-28T10:04:05.7051528+01:00
WSZR,22,2017-08-28T10:10:05.7051528+01:00
DH5J,35,2017-08-28T10:18:05.7051528+01:00
OKIB,38,2017-08-28T10:29:05.7051528+01:00
BW5P,44,2017-08-28T10:01:05.7051528+01:00
JWUI,5,2017-08-28T10:02:05.7051528+01:00
21FQ,22,2017-08-28T10:19:05.7051528+01:00
SWDN,9,2017-08-28T10:01:05.7051528+01:00
WSZR,26,2017-08-28T10:12:05.7051528+01:00
JEKQ,5,2017-08-28T10:21:05.7051528+01:00
BW5P,42,2017-08-28T10:02:05.7051528+01:00
JWUI,0,2017-08-28T10:06:05.7051528+01:00
Q3DH,74,2017-08-28T10:07:05.7051528+01:00
AO1H,0,2017-08-28T10:13:05.7051528+01:00
3PMW,44,2017-08-28T10:00:05.7051528+01:00
UXWV,39,2017-08-28T10:05:05.7051528+01:00
WK0Z,25,2017-08-28T10:02:05.7051528+01:00
OKIB,37,2017-08-28T10:33:05.7051528+01:00
DH5J,38,2017-08-28T10:20:05.7051528+01:00
3PMW,39,2017-08-28T10:05:05.7051528+01:00
21FQ,20,2017-08-28T10:21:05.7051528+01:00
G3XP,9,2017-08-28T10:03:05.7051528+01:00
2T0Y,4,2017-08-28T10:07:05.7051528+01:00
SWDN,6,2017-08-28T10:06:05.7051528+01:00
GHRC,93,2017-08-28T10:04:05.7051528+01:00
BW5P,46,2017-08-28T10:04:05.7051528+01:00
MFHL,49,2017-08-28T10:08:05.7051528+01:00
NRRO,35,2017-08-28T10:22:05.7051528+01:00
NRRO,30,2017-08-28T10:27:05.7051528+01:00
DBWM,3,2017-08-28T10:26:05.7051528+01:00
3G3Y,4,2017-08-28T10:14:05.7051528+01:00
WTKH,59,2017-08-28T10:11:05.7051528+01:00
XCCN,6,2017-08-28T10:04:05.7051528+01:00
DH5J,41,2017-08-28T10:23:05.7051528+01:00
LJU5,24,2017-08-28T10:07:05.7051528+01:00
SKGG,31,2017-08-28T10:01:05.7051528+01:00
XCCN,4,2017-08-28T10:01:05.7051528+01:00
AO1H,0,2017-08-28T10:15:05.7051528+01:00
V20F,19,2017-08-28T10:08:05.7051528+01:00
AO1H,3,2017-08-28T10:16:05.7051528+01:00
0F2E,76,2017-08-28T10:09:05.7051528+01:00
SWDN,7,2017-08-28T10:11:05.7051528+01:00
5LCH,59,2017-08-28T10:15:05.7051528+01:00
3G3Y,5,2017-08-28T10:16:05.7051528+01:00
0AAH,16,2017-08-28T10:25:05.7051528+01:00
0AAH,15,2017-08-28T10:34:05.7051528+01:00
DH5J,45,2017-08-28T10:26:05.7051528+01:00
2TRU,60,2017-08-28T10:07:05.7051528+01:00
WSZR,29,2017-08-28T10:15:05.7051528+01:00
J1IP,47,2017-08-28T10:03:05.7051528+01:00
BF0G,40,2017-08-28T10:29:05.7051528+01:00
AO1H,4,2017-08-28T10:21:05.7051528+01:00
EE0S,66,2017-08-28T10:00:05.7051528+01:00
XCCN,9,2017-08-28T10:05:05.7051528+01:00
0AAH,13,2017-08-28T10:29:05.7051528+01:00
