Vehicle Registration,LicensedFrom,LicensedTo
A11,01/01/2015 00:00:00,31/12/2014 00:00:00
A12,01/01/2015 00:00:00,31/12/2014 00:00:00
A13,01/01/2015 00:00:00,31/12/2014 00:00:00
A14,01/01/2015 00:00:00,31/12/2014 00:00:00
A15,01/01/2015 00:00:00,31/12/2014 00:00:00
A16,01/01/2015 00:00:00,31/12/2014 00:00:00
A17,01/01/2015 00:00:00,31/12/2014 00:00:00
A18,01/01/2015 00:00:00,31/12/2014 00:00:00
A19,01/01/2015 00:00:00,31/12/2014 00:00:00
B11,01/01/2015 00:00:00,31/12/2014 00:00:00
B12,01/01/2015 00:00:00,31/12/2014 00:00:00
B13,01/01/2015 00:00:00,31/12/2014 00:00:00
B14,01/01/2015 00:00:00,31/12/2014 00:00:00
B15,01/01/2015 00:00:00,31/12/2014 00:00:00
B16,01/01/2015 00:00:00,31/12/2014 00:00:00
B17,01/01/2015 00:00:00,31/12/2014 00:00:00
B18,01/01/2015 00:00:00,31/12/2014 00:00:00
B19,01/01/2015 00:00:00,31/12/2014 00:00:00
C11,01/01/2015 00:00:00,31/12/2014 00:00:00
C12,01/01/2015 00:00:00,31/12/2014 00:00:00
C13,01/01/2015 00:00:00,31/12/2014 00:00:00
C14,01/01/2015 00:00:00,31/12/2014 00:00:00
C15,01/01/2015 00:00:00,31/12/2014 00:00:00
C16,01/01/2015 00:00:00,31/12/2014 00:00:00
C17,01/01/2015 00:00:00,31/12/2014 00:00:00
C18,01/01/2015 00:00:00,31/12/2014 00:00:00
C19,01/01/2015 00:00:00,31/12/2014 00:00:00
D11,01/01/2015 00:00:00,31/12/2014 00:00:00
D12,01/01/2015 00:00:00,31/12/2014 00:00:00
D13,01/01/2015 00:00:00,31/12/2014 00:00:00
D14,01/01/2015 00:00:00,31/12/2014 00:00:00
D15,01/01/2015 00:00:00,31/12/2014 00:00:00
D16,01/01/2015 00:00:00,31/12/2014 00:00:00
D17,01/01/2015 00:00:00,31/12/2014 00:00:00
D18,01/01/2015 00:00:00,31/12/2014 00:00:00
D19,01/01/2015 00:00:00,31/12/2014 00:00:00
E11,01/01/2015 00:00:00,31/12/2014 00:00:00
E12,01/01/2015 00:00:00,31/12/2014 00:00:00
E13,01/01/2015 00:00:00,31/12/2014 00:00:00
E14,01/01/2015 00:00:00,31/12/2014 00:00:00
E15,01/01/2015 00:00:00,31/12/2014 00:00:00
E16,01/01/2015 00:00:00,31/12/2014 00:00:00
E17,01/01/2015 00:00:00,31/12/2014 00:00:00
E18,01/01/2015 00:00:00,31/12/2014 00:00:00
E19,01/01/2015 00:00:00,31/12/2014 00:00:00
F11,01/01/2015 00:00:00,31/12/2014 00:00:00
F12,01/01/2015 00:00:00,31/12/2014 00:00:00
F13,01/01/2015 00:00:00,31/12/2014 00:00:00
F14,01/01/2015 00:00:00,31/12/2014 00:00:00
F15,01/01/2015 00:00:00,31/12/2014 00:00:00
F16,01/01/2015 00:00:00,31/12/2014 00:00:00
F17,01/01/2015 00:00:00,31/12/2014 00:00:00
F18,01/01/2015 00:00:00,31/12/2014 00:00:00
F19,01/01/2015 00:00:00,31/12/2014 00:00:00
G11,01/01/2015 00:00:00,31/12/2014 00:00:00
G12,01/01/2015 00:00:00,31/12/2014 00:00:00
G13,01/01/2015 00:00:00,31/12/2014 00:00:00
G14,01/01/2015 00:00:00,31/12/2014 00:00:00
G15,01/01/2015 00:00:00,31/12/2014 00:00:00
G16,01/01/2015 00:00:00,31/12/2014 00:00:00
G17,01/01/2015 00:00:00,31/12/2014 00:00:00
G18,01/01/2015 00:00:00,31/12/2014 00:00:00
G19,01/01/2015 00:00:00,31/12/2014 00:00:00
H11,01/01/2015 00:00:00,31/12/2014 00:00:00
H12,01/01/2015 00:00:00,31/12/2014 00:00:00
H13,01/01/2015 00:00:00,31/12/2014 00:00:00
H14,01/01/2015 00:00:00,31/12/2014 00:00:00
H15,01/01/2015 00:00:00,31/12/2014 00:00:00
H16,01/01/2015 00:00:00,31/12/2014 00:00:00
H17,01/01/2015 00:00:00,31/12/2014 00:00:00
H18,01/01/2015 00:00:00,31/12/2014 00:00:00
H19,01/01/2015 00:00:00,31/12/2014 00:00:00
J11,01/01/2015 00:00:00,31/12/2014 00:00:00
J12,01/01/2015 00:00:00,31/12/2014 00:00:00
J13,01/01/2015 00:00:00,31/12/2014 00:00:00
J14,01/01/2015 00:00:00,31/12/2014 00:00:00
J15,01/01/2015 00:00:00,31/12/2014 00:00:00
J16,01/01/2015 00:00:00,31/12/2014 00:00:00
J17,01/01/2015 00:00:00,31/12/2014 00:00:00
J18,01/01/2015 00:00:00,31/12/2014 00:00:00
J19,01/01/2015 00:00:00,31/12/2014 00:00:00
K11,01/01/2015 00:00:00,31/12/2014 00:00:00
K12,01/01/2015 00:00:00,31/12/2014 00:00:00
K13,01/01/2015 00:00:00,31/12/2014 00:00:00
K14,01/01/2015 00:00:00,31/12/2014 00:00:00
K15,01/01/2015 00:00:00,31/12/2014 00:00:00
K16,01/01/2015 00:00:00,31/12/2014 00:00:00
K17,01/01/2015 00:00:00,31/12/2014 00:00:00
K18,01/01/2015 00:00:00,31/12/2014 00:00:00
K19,01/01/2015 00:00:00,31/12/2014 00:00:00
L11,01/01/2015 00:00:00,31/12/2014 00:00:00
L12,01/01/2015 00:00:00,31/12/2014 00:00:00
L13,01/01/2015 00:00:00,31/12/2014 00:00:00
L14,01/01/2015 00:00:00,31/12/2014 00:00:00
L15,01/01/2015 00:00:00,31/12/2014 00:00:00
L16,01/01/2015 00:00:00,31/12/2014 00:00:00
L17,01/01/2015 00:00:00,31/12/2014 00:00:00
L18,01/01/2015 00:00:00,31/12/2014 00:00:00
L19,01/01/2015 00:00:00,31/12/2014 00:00:00
M11,01/01/2015 00:00:00,31/12/2014 00:00:00
M12,01/01/2015 00:00:00,31/12/2014 00:00:00
M13,01/01/2015 00:00:00,31/12/2014 00:00:00
M14,01/01/2015 00:00:00,31/12/2014 00:00:00
M15,01/01/2015 00:00:00,31/12/2014 00:00:00
M16,01/01/2015 00:00:00,31/12/2014 00:00:00
M17,01/01/2015 00:00:00,31/12/2014 00:00:00
M18,01/01/2015 00:00:00,31/12/2014 00:00:00
M19,01/01/2015 00:00:00,31/12/2014 00:00:00
N11,01/01/2015 00:00:00,31/12/2014 00:00:00
N12,01/01/2015 00:00:00,31/12/2014 00:00:00
N13,01/01/2015 00:00:00,31/12/2014 00:00:00
N14,01/01/2015 00:00:00,31/12/2014 00:00:00
N15,01/01/2015 00:00:00,31/12/2014 00:00:00
N16,01/01/2015 00:00:00,31/12/2014 00:00:00
N17,01/01/2015 00:00:00,31/12/2014 00:00:00
N18,01/01/2015 00:00:00,31/12/2014 00:00:00
N19,01/01/2015 00:00:00,31/12/2014 00:00:00
P11,01/01/2015 00:00:00,31/12/2014 00:00:00
P12,01/01/2015 00:00:00,31/12/2014 00:00:00
P13,01/01/2015 00:00:00,31/12/2014 00:00:00
P14,01/01/2015 00:00:00,31/12/2014 00:00:00
P15,01/01/2015 00:00:00,31/12/2014 00:00:00
P16,01/01/2015 00:00:00,31/12/2014 00:00:00
P17,01/01/2015 00:00:00,31/12/2014 00:00:00
P18,01/01/2015 00:00:00,31/12/2014 00:00:00
P19,01/01/2015 00:00:00,31/12/2014 00:00:00
R11,01/01/2015 00:00:00,31/12/2014 00:00:00
R12,01/01/2015 00:00:00,31/12/2014 00:00:00
R13,01/01/2015 00:00:00,31/12/2014 00:00:00
R14,01/01/2015 00:00:00,31/12/2014 00:00:00
R15,01/01/2015 00:00:00,31/12/2014 00:00:00
R16,01/01/2015 00:00:00,31/12/2014 00:00:00
R17,01/01/2015 00:00:00,31/12/2014 00:00:00
R18,01/01/2015 00:00:00,31/12/2014 00:00:00
R19,01/01/2015 00:00:00,31/12/2014 00:00:00
S11,01/01/2015 00:00:00,31/12/2014 00:00:00
S12,01/01/2015 00:00:00,31/12/2014 00:00:00
S13,01/01/2015 00:00:00,31/12/2014 00:00:00
S14,01/01/2015 00:00:00,31/12/2014 00:00:00
S15,01/01/2015 00:00:00,31/12/2014 00:00:00
S16,01/01/2015 00:00:00,31/12/2014 00:00:00
S17,01/01/2015 00:00:00,31/12/2014 00:00:00
S18,01/01/2015 00:00:00,31/12/2014 00:00:00
S19,01/01/2015 00:00:00,31/12/2014 00:00:00
T11,01/01/2015 00:00:00,31/12/2014 00:00:00
T12,01/01/2015 00:00:00,31/12/2014 00:00:00
T13,01/01/2015 00:00:00,31/12/2014 00:00:00
T14,01/01/2015 00:00:00,31/12/2014 00:00:00
T15,01/01/2015 00:00:00,31/12/2014 00:00:00
T16,01/01/2015 00:00:00,31/12/2014 00:00:00
T17,01/01/2015 00:00:00,31/12/2014 00:00:00
T18,01/01/2015 00:00:00,31/12/2014 00:00:00
T19,01/01/2015 00:00:00,31/12/2014 00:00:00
V11,01/01/2015 00:00:00,31/12/2014 00:00:00
V12,01/01/2015 00:00:00,31/12/2014 00:00:00
V13,01/01/2015 00:00:00,31/12/2014 00:00:00
