cameraid,vehicleregistration,speed,speedlimit,locationlatitude,locationlongitude,time
Camera 10,F80,20,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:02.8496897Z
Camera 15,T45,20,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:02.8506895Z
Camera 17,J46,11,70,51.6968471052884,-0.0339673934974359,2017-08-30T16:31:02.8516899Z
Camera 5,S80,20,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:02.8476893Z
Camera 2,H30,0,40,51.4163621658107,-0.552565269149057,2017-08-30T16:31:02.8456889Z
Camera 6,S86,7,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:02.8476893Z
Camera 12,G24,1,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:02.8496897Z
Camera 13,L16,20,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:02.8506895Z
Camera 18,J41,8,20,51.655882654568,-0.543575567909062,2017-08-30T16:31:02.8526897Z
Camera 25,L93,5,30,51.518425959777,-0.400272391277868,2017-08-30T16:31:02.8546897Z
Camera 30,L86,20,20,51.2422977904381,-0.275791971104562,2017-08-30T16:31:02.8626920Z
Camera 33,A23,20,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:02.8646900Z
Camera 47,H68,20,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:02.8716910Z
Camera 44,V98,9,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:02.8706895Z
Camera 42,K95,6,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:02.8706895Z
Camera 22,P18,20,60,51.2808709704299,-0.349814077345518,2017-08-30T16:31:02.8536896Z
Camera 27,C77,20,50,51.7176609518381,0.326906892997577,2017-08-30T16:31:02.8616947Z
Camera 31,R40,13,30,51.516913883196,0.174217979682664,2017-08-30T16:31:02.8636905Z
Camera 34,E93,2,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:02.8646900Z
Camera 38,T92,22,40,51.3485423636571,0.131531654242637,2017-08-30T16:31:02.8656895Z
Camera 43,D50,11,30,51.2233268041761,-0.427825092307253,2017-08-30T16:31:02.8706895Z
Camera 48,N53,8,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:02.8716910Z
Camera 21,N67,27,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:02.8536896Z
Camera 37,A11,17,30,51.413342024153,-0.00153631866453974,2017-08-30T16:31:02.8656895Z
Camera 0,E88,20,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:02.7337177Z
Camera 39,Y75,16,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:04.9477258Z
Camera 47,F33,60,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:04.9477258Z
Camera 7,V17,20,30,51.3574101360434,-0.331879212122002,2017-08-30T16:31:02.8476893Z
Camera 14,V44,15,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:02.8506895Z
Camera 16,C92,36,60,51.4338229493116,-0.326779599495918,2017-08-30T16:31:02.8516899Z
Camera 4,C58,20,60,51.497349752867,0.137551719111167,2017-08-30T16:31:02.8466894Z
Camera 26,L33,20,40,51.5939539796656,-0.299903785865331,2017-08-30T16:31:02.8616947Z
Camera 40,G14,1,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:02.8666897Z
Camera 35,Z55,30,70,51.4130804902811,-0.179536756784336,2017-08-30T16:31:05.4487199Z
