Vehicle Registration,Date Stolen,Date Recovered
ZSM 537,2012/4/6,2012/4/29
EJX 573,2012/4/6,2012/4/7
PBN 456,2012/4/6,2012/4/10
RFK 461,2012/4/6,2012/5/15
BHL 521,2012/4/6,2012/5/24
PDR 867,2012/4/6,2012/4/11
XCX 184,2012/4/6,2012/4/28
RYX 131,2012/4/6,
PZK 485,2012/4/6,2012/5/8
CHT 493,2012/4/6,2012/4/6
DLL 527,2012/4/6,2012/4/12
XCX 339,2012/4/6,2012/5/24
FLE 637,2012/4/6,2012/4/14
KHY 561,2012/4/6,2012/4/26
XYX 864,2012/4/6,2012/4/6
WTK 764,2012/4/6,
HEC 514,2012/4/6,2012/5/7
HCC 886,2012/4/6,2012/4/8
SLJ 312,2012/4/6,2012/5/23
LJT 635,2012/4/6,
BTC 499,2012/4/6,2012/4/21
GLL 532,2012/4/6,
SPZ 211,2012/4/6,
FFA 761,2012/4/6,2012/4/9
KAT 156,2012/4/6,2012/5/20
DXZ 675,2012/4/6,2012/5/6
HNW 755,2012/4/6,
SZD 796,2012/4/6,2012/5/18
KRA 349,2012/4/6,
TEZ 215,2012/4/6,2012/4/28
RTH 124,2012/4/6,2012/4/21
ZSJ 652,2012/4/6,2012/5/19
ATD 154,2012/4/6,2012/5/17
XVZ 459,2012/4/6,
MJA 238,2012/4/6,
HDF 751,2012/4/6,2012/5/7
GKC 344,2012/4/6,2012/4/19
XXD 549,2012/4/6,
SEB 127,2012/4/6,2012/4/18
TCS 412,2012/4/6,2012/5/21
DLA 287,2012/4/6,
DTG 466,2012/4/6,2012/5/8
VFZ 396,2012/4/6,2012/4/22
DWM 279,2012/4/6,2012/4/14
ZHG 992,2012/4/6,
HZX 548,2012/4/6,
LGM 826,2012/4/6,2012/5/17
CJY 926,2012/4/6,2012/4/26
NLJ 337,2012/4/6,2012/4/28
BZZ 178,2012/4/6,2012/4/16
FHT 443,2012/4/6,2012/5/9
LTV 532,2012/4/6,2012/5/17
NSX 954,2012/4/6,2012/5/21
XYV 268,2012/4/6,2012/5/19
EPT 881,2012/4/6,2012/5/15
WAV 589,2012/4/6,2012/4/23
DEK 913,2012/4/6,2012/5/19
KZM 555,2012/4/6,2012/5/14
XNH 641,2012/4/6,2012/5/19
XNB 564,2012/4/6,2012/5/20
NYZ 449,2012/4/6,2012/4/18
TXJ 853,2012/4/6,2012/5/15
FCR 367,2012/4/6,
HXB 424,2012/4/6,
CNY 654,2012/4/6,2012/4/19
GKX 669,2012/4/6,2012/4/7
VVE 575,2012/4/6,2012/4/25
LXB 588,2012/4/6,2012/5/10
MHV 942,2012/4/6,2012/5/14
WRA 289,2012/4/6,2012/4/28
XLP 428,2012/4/6,2012/4/20
DBC 637,2012/4/6,2012/4/12
TMA 421,2012/4/6,2012/4/17
AHP 153,2012/4/6,2012/4/6
KSP 423,2012/4/6,2012/4/13
AFV 312,2012/4/6,
NMH 381,2012/4/6,2012/4/14
EAJ 832,2012/4/6,2012/4/7
BNE 627,2012/4/6,2012/4/20
JHG 939,2012/4/6,2012/5/1
TMM 997,2012/4/6,2012/5/10
MVD 283,2012/4/6,2012/4/26
EXF 599,2012/4/6,2012/5/22
FWZ 582,2012/4/6,2012/5/4
MLC 771,2012/4/6,2012/5/24
XXB 362,2012/4/6,
YLT 479,2012/4/6,2012/5/25
PST 172,2012/4/6,2012/5/2
FXP 427,2012/4/6,
YXP 196,2012/4/6,
FXN 342,2012/4/6,2012/5/5
LHC 939,2012/4/6,2012/5/8
HTB 753,2012/4/6,2012/5/22
HNK 849,2012/4/6,2012/5/18
LRW 862,2012/4/6,
GBX 852,2012/4/6,
EXR 265,2012/4/6,
ZGZ 887,2012/4/6,2012/4/14
MDL 618,2012/4/6,
WAJ 542,2012/4/6,
RJP 537,2012/4/6,2012/4/26
CVX 331,2012/4/6,2012/4/18
YJG 473,2012/4/6,2012/5/23
TMG 521,2012/4/6,2012/5/9
NWE 427,2012/4/6,2012/4/15
TML 398,2012/4/6,2012/5/22
TWM 983,2012/4/6,2012/4/28
KES 848,2012/4/6,
DAS 488,2012/4/6,2012/4/24
ELR 287,2012/4/6,2012/4/30
NLV 367,2012/4/6,2012/4/6
JWZ 994,2012/4/6,2012/4/29
TKC 825,2012/4/6,2012/5/25
LGV 463,2012/4/6,2012/5/1
SVF 815,2012/4/6,2012/4/29
ALZ 984,2012/4/6,2012/4/17
ZVK 466,2012/4/6,
MWV 396,2012/4/6,
HFG 226,2012/4/6,2012/5/13
ZPW 659,2012/4/6,
BZJ 881,2012/4/6,
AEJ 372,2012/4/6,2012/5/4
XXR 611,2012/4/6,2012/5/10
BEK 972,2012/4/6,2012/4/30
TRD 937,2012/4/6,2012/4/19
DEE 935,2012/4/6,2012/5/1
BLT 745,2012/4/6,
GAV 672,2012/4/6,2012/4/21
SWM 116,2012/4/6,
PJK 887,2012/4/6,2012/4/13
RRX 348,2012/4/6,2012/4/14
RCP 396,2012/4/6,2012/5/4
YHE 495,2012/4/6,2012/5/13
JNB 912,2012/4/6,2012/4/17
WFZ 131,2012/4/6,2012/4/28
SGJ 918,2012/4/6,2012/4/18
WLZ 567,2012/4/6,
XMY 872,2012/4/6,2012/4/13
XCJ 765,2012/4/6,2012/5/11
XGS 718,2012/4/6,2012/4/24
GBC 627,2012/4/6,
RVC 716,2012/4/6,2012/4/12
CXA 956,2012/4/6,2012/4/23
TBP 318,2012/4/6,
DJM 715,2012/4/6,
DGA 849,2012/4/6,2012/5/16
EEN 385,2012/4/6,2012/4/9
SVX 227,2012/4/6,2012/4/6
SBP 714,2012/4/6,2012/4/24
MYT 255,2012/4/6,2012/5/21
FHB 838,2012/4/6,2012/4/20
HVZ 363,2012/4/6,2012/5/23
GFD 442,2012/4/6,2012/4/15
WZS 879,2012/4/6,
XCX 862,2012/4/6,2012/4/29
TXH 351,2012/4/6,2012/5/24
ZGW 345,2012/4/6,
CGA 324,2012/4/6,2012/4/6
NVJ 542,2012/4/6,
VHP 589,2012/4/6,2012/4/21
AJX 419,2012/4/6,2012/5/17
TTS 412,2012/4/6,2012/5/7
XXT 665,2012/4/6,2012/5/23
LSL 198,2012/4/6,2012/4/22
ZFH 856,2012/4/6,2012/4/24
ZBT 645,2012/4/6,2012/4/8
SFP 826,2012/4/6,2012/4/11
KBY 458,2012/4/6,2012/4/24
KLH 888,2012/4/6,2012/5/16
MDS 674,2012/4/6,
RVG 735,2012/4/6,2012/4/9
DVH 579,2012/4/6,
SXE 922,2012/4/6,2012/5/17
LJH 995,2012/4/6,
PYT 757,2012/4/6,2012/5/6
KAS 154,2012/4/6,2012/5/4
CNX 825,2012/4/6,2012/5/20
ZKF 821,2012/4/6,2012/4/25
YEW 734,2012/4/6,
GFL 158,2012/4/6,
VVX 461,2012/4/6,
AGS 147,2012/4/6,2012/5/18
PCC 358,2012/4/6,2012/4/19
YXM 918,2012/4/6,
CDB 329,2012/4/6,2012/5/25
FTT 966,2012/4/6,2012/5/4
JCL 471,2012/4/6,
MBL 751,2012/4/6,2012/4/9
HNY 375,2012/4/6,2012/4/13
CEB 713,2012/4/6,2012/4/14
HZM 945,2012/4/6,
NBV 253,2012/4/6,
RMP 163,2012/4/6,2012/5/19
ZWG 598,2012/4/6,2012/5/22
XBJ 652,2012/4/6,2012/5/20
BWT 671,2012/4/6,2012/4/11
XWC 671,2012/4/6,
BRY 539,2012/4/6,2012/4/12
DNE 587,2012/4/6,2012/5/8
PWZ 853,2012/4/6,2012/4/11
SKP 274,2012/4/6,2012/5/3
HGM 834,2012/4/6,
SAL 286,2012/4/6,
ENY 829,2012/4/6,2012/5/4
MZV 841,2012/4/6,2012/4/7
AJC 627,2012/4/6,2012/4/19
GXB 589,2012/4/6,
KKY 247,2012/4/6,2012/5/10
TSH 367,2012/4/6,2012/5/13
ZRD 464,2012/4/6,2012/5/23
GSN 391,2012/4/6,2012/5/24
WTJ 919,2012/4/6,2012/4/23
TTW 549,2012/4/6,2012/5/9
